Dragon. Breathe Fire, Bite, Roar, 
Skeleton. Rusted Sword, Throw Rib, Hit, 
Zombie. Bite, Throw Eyeball, Scratch, 
Poltergeist. Scream, Gust of Wind, Telekinesis Throw, 
Feral Wolf. Bite, Scratch, Howl, 
Mystical Orb. Float Menacingly, Shine Brightly, Emit Arcane Energy, 
Floating Eye. Stare Creepily, Blink, Stink Eye, 
Parker Mandryk. Vegan, Coffee Mug, Stubble, 
Geoffrey Baxter. Sexy Confidence, Clark Kent Hair, Evil Laugh, 
Aman Barghava. Big ol' Noggin, Cello Power, Long Fingers, 
Mr Vojnov. String "POOP", NullPointerException, Give Parker Qs, 
